11001201400,2014년 스크래핑서비스 ASP,
11001201500,2015년 스크래핑서비스 ASP,
11001301600,2016년 스크래핑서비스 ASP,
11002201500,2015년 신한 스마트 전담반,
11002201600,2016년 신한 스마트 전담반,
11003201400,2014년 신한 스마트 전담반,
11003201500,2015년 InsideBank 유지보수,
11003201600,2016년 InsideBank 유지보수,
11004201400,2014년 InsideBank 유지보수,
11004201500,2015년 InsideBank 서비스,
12999901200,휴가,
13030501300,프리마켓(오퍼북),
13900901317,영업업무,
14008201500,2015년 광주은행 신스마트뱅킹 운영 유지보수,
14014201300,ZUST(감성친구),
14017201400,중국 CMS 유지보수,
14019101400,광주은행 신스마트뱅킹시스템 개발용역 및 물품공급,
14020101400,농협은행 스마트워크 모바일오피스 개발(기획/개발),
14022201400,차세대 자산운용시스템운영및유지보수,
14024201400,국민연금 기금운용 일반사무관리 추가 위탁업무 유지보수,
14026201400,2014년 농협은행 스마트금융센터 컨설팅,
14028101400,신한은행 기업인터넷뱅킹 전면개편,
14029201400,2014년 S-RCMS 운용 유지보수,
14032201400,국민연금공단 주거래시스템 유지보수,
14033101400,소상공인시장진흥공단 자금수탁시스템 개발,
14034101400,신한은행 전자문서서비스시스템 구축,
14035101400,매출채권 담보대출 서비스,
14037101400,농협은행 스마트통장 구축,
14038101400,SOS 서비스 구축,
14040101400,SKT T가계부서비스 개발,
14046101400,신한은행 영업점 퇴직연금마케팅 테블릿 PC APP개발,
14047101400,신분증 진위조회 자동화 시스템 구축용 솔루션/서비스 및 개발,
14048101400,농협금융 통합소개지원시스템 구축 컨설팅,
14051401400,LVS 솔루션 공급 및 개발,
14999901402,경영관리부업무,
14999901438,관리본부지원업무,
14999901440,영업본부지원업무,
14999901442,전략본부지원업무,
14999901446,사업본부지원업무,
14999901452,연구소지원업무,
15005201500,2015년 하나N월렛 유지보수,
15005201600,2016년 하나N월렛 유지보수,
15006101500,농협스마트인증 앱 개선,
15006201600,2016년 광주은행 신스마트뱅킹 운영 유지보수,
15007101500,금융결제원 연동 CMS 개발,
15009101500,양곡자회사 설립 대비 IT운영시스템 구축(자금관리),
15010101500,한국연구재단 연구비관리시스템 구축,
15011101500,디스카운트 마켓,
15012501500,핑거 F1-TEAM,
15013101500,하나-외환 IT개선 선도개발,
15014201500,국민연금 기금운용본부 사무수탁 유지보수,
15015101500,신한은행 스마트펀드센터 앱 전면 재구축,
15018101500,농협은행 스마트 금융센터 금융상품 마켓 구축(스마트),
15019201500,차세대 자산운용시스템운영 및 유지보수 아웃소싱 용역 재계약,
15020201500,2015년 중국 CMS 유지보수,
15021101500,하나지주 1QOk 해외송금,
15022101500,신한은행 국민주택채권포탈 사이트 개편,
15025101500,사학연금 특정 투자일임자산 업무개선,
15026101500,KB Cam Pad시스템 구축 구매계약,
15030101500,제주관광공사 통합 CMS 물품 및 개발용역 공급계약,
15031101500,신한은행 모바일뱅킹(S뱅크) 전면개편 입찰 제안작업,
15035101500,2015년 모바일오피스 고도화(개발),
15037101500,모바일뱅킹(S뱅크) 전면 개편 물품 및 개발용역 공급계약,
15038101500,InsideBank 업그레이드 개발,
15040101500,2015년 농협 e금융서비스고도화 및 보안강화 구축,
15041201500,국민연금 주거래시스템 유지보수 도급(2차년도) 계약,
15042101500,사회복무제도 지원 사업 개발용역 공급계약,
15043501500,머니택,
15046101500,하나-외환 IT통합 프로젝트(전자금융채널),
15048101500,광주은행 스마트뱅킹 고도화,
15050101500,글로벌(신한베트남)여성 특화서비스 구축을 위한 개발용역,
15052101500,군인공제회 주거래은행 통합자금관리시스템 2.0 구축,
15054101500,농협은행 Non-ActiveX 대응 개발 인수테스트 지원,
15055101500,광주은행 비대면 실명 인증 시스템 개발,
15058101500,NH 농협은행 비대면 실명확인,
15059101500,ISA(개인종합자산관리계좌)시스템 구축 개발이용역 공급계약,
16007101600,마이홈앤론 업그레이드 개발 도급,
16009201600,2016년 국민연금 기금운용 일반사무관리 위탁업무 유지보수 도급 계약,
16011201600,2016년 모바일 전문은행(Sunny Bank)개발 및 유지보수 도급 계약,
16013401600,부가가치세 과세자료 일괄수집 솔루션 구축 도입품의,
16014101600,신한은행 퇴직연금 비대면채널 업그레이드 개발,
16016101600,IBK 직장인명함 대출서비스관련 개발용역 계약,
